Country/Region,month,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Germany,3,20,130/0,159/0,196/0,262/0,482/0,670/0,799/0,1040/0,1176/2,1457/2,1908/3,2078/3,3675/7,4585/9,5795/11,7272/17,9257/24,12327/28,15320/44,19848/67,22213/84,24873/94,29056/123,32986/157,37323/206,43938/267,50871/342,57695/433,62095/533,66885/645,71808/775
Spain,3,20,84/0,120/0,165/1,222/2,259/3,400/5,500/10,673/17,1073/28,1695/35,2277/54,2277/55,5232/133,6391/195,7798/289,9942/342,11748/533,13910/623,17963/830,20410/1043,25374/1375,28768/1772,35136/2311,39885/2808,49515/3647,57786/4365,65719/5138,73235/5982,80110/6803,87956/7716,95923/8464
